Temperature,Pressure,Humidity,Oxygen
24.1,1.35,42,20.0
21.4,1.42,54,19.1
24.1,1.19,58,19.7
23.8,1.26,50,20.5
24.8,1.04,46,19.7
22.8,1.32,45,19.4
22.4,1.24,41,20.0
24.5,1.49,41,19.5
24.1,1.16,55,19.8
24.4,1.42,42,19.7
22.2,1.5,54,21.0
20.7,1.39,54,20.7
21.9,1.02,55,19.3
23.1,1.09,46,19.1
22.6,1.49,48,19.4
21.2,1.04,51,20.8
22.5,1.42,59,19.4
24.4,1.26,58,20.5
24.6,1.07,51,19.9
21.1,1.0,43,20.5
23.8,1.42,50,20.3
23.0,1.37,56,20.9
24.6,1.42,58,19.8
24.0,1.17,55,19.5
24.9,1.28,56,19.2
24.2,1.41,57,20.7
24.8,1.08,55,20.2
21.5,1.36,44,20.3
22.8,1.2,53,19.9
20.3,1.4,53,19.3
24.3,1.12,59,20.0
22.3,1.06,42,19.0
21.1,1.25,45,20.3
24.5,1.27,55,19.9
24.3,1.39,44,20.2
21.2,1.39,43,20.3
24.7,1.08,59,19.4
23.1,1.48,52,20.6
21.7,1.35,40,20.8
20.8,1.19,47,19.3
21.2,1.13,48,19.3
22.1,1.39,58,20.5
20.3,1.04,44,20.0
23.3,1.21,59,19.1
20.6,1.37,55,20.4
21.7,1.28,46,19.5
23.2,1.16,43,19.4
21.8,1.11,41,19.5
24.0,1.11,43,20.8
22.2,1.23,47,21.0
24.6,1.05,54,20.8
21.4,1.02,40,19.0
21.0,1.23,46,20.8
21.0,1.02,50,19.2
21.5,1.19,53,20.8
21.8,1.48,43,20.8
24.4,1.03,59,20.1
23.2,1.3,57,19.3
24.3,1.05,45,19.9
24.2,1.14,56,20.3
23.3,1.34,42,20.9
24.5,1.01,43,20.4
24.0,1.06,56,20.8
20.2,1.42,46,20.0
22.5,1.2,46,19.7
22.1,1.26,51,20.8
24.9,1.01,60,20.8
24.5,1.01,51,20.0
21.4,1.37,40,20.2
24.6,1.42,55,19.2
24.0,1.48,40,20.3
21.2,1.04,44,20.7
23.6,1.1,52,20.8
20.6,1.06,60,20.8
20.5,1.41,43,20.6
20.1,1.25,45,19.4
21.0,1.33,56,20.5
21.9,1.35,58,20.5
23.0,1.12,42,20.6
25.0,1.44,48,19.2
21.2,1.01,40,20.4
24.7,1.25,60,20.9
22.8,1.03,55,20.5
20.3,1.35,56,20.1
21.1,1.17,53,20.2
20.7,1.39,43,19.4
22.7,1.48,52,19.7
23.2,1.09,59,19.2
20.8,1.15,54,19.8
22.0,1.39,49,20.6
22.7,1.0,50,20.2
21.5,1.43,44,19.8
24.5,1.09,60,20.9
21.0,1.14,40,20.6
20.4,1.44,49,19.7
21.8,1.44,49,20.5
24.9,1.24,52,19.7
21.6,1.07,53,19.7
24.9,1.36,48,19.5
24.4,1.07,54,19.2
20.3,1.24,45,20.6
22.5,1.01,58,19.8
20.3,1.41,43,19.7
20.1,1.09,58,19.8
20.1,1.24,41,20.9
21.9,1.09,40,19.8
21.1,1.03,43,20.5
21.4,1.48,48,20.4
25.0,1.5,52,20.0
21.8,1.28,47,19.1
21.9,1.27,60,20.8
24.6,1.36,57,20.3
24.8,1.46,56,20.0
24.0,1.08,52,19.6
24.8,1.17,43,20.8
24.0,1.32,51,19.0
23.5,1.28,42,20.8
22.2,1.18,45,20.8
21.9,1.32,53,20.2
22.1,1.18,43,19.2
21.4,1.13,52,21.0
24.7,1.44,50,19.8
23.2,1.01,54,20.3
21.1,1.06,50,21.0
22.1,1.24,51,19.6
22.9,1.45,60,21.0
22.0,1.09,43,20.7
22.3,1.1,56,19.2
24.5,1.09,60,20.5
22.5,1.37,53,20.7
20.7,1.04,50,20.7
23.3,1.3,55,20.1
21.7,1.07,59,20.0
23.6,1.49,55,20.1
23.0,1.21,40,19.7
21.2,1.39,43,19.4
22.1,1.47,46,20.4
22.4,1.47,56,19.5
20.5,1.1,49,20.6
21.3,1.2,58,20.6
22.6,1.0,49,20.1
23.0,1.14,49,20.1
21.9,1.23,49,20.7
24.5,1.35,47,19.9
21.9,1.46,54,20.0
24.6,1.21,51,19.2
23.8,1.42,58,19.2
23.5,1.12,49,20.3
23.7,1.04,42,20.8
23.7,1.45,60,19.3
21.6,1.17,41,20.7
22.3,1.44,56,19.9
20.9,1.35,54,19.7
21.2,1.47,46,20.6
23.7,1.17,40,19.4
24.3,1.34,57,19.7
24.2,1.1,42,19.1
23.8,1.39,45,20.1
20.2,1.33,40,20.8
20.2,1.4,43,19.4
23.9,1.49,54,19.2
23.7,1.29,55,20.6
22.1,1.34,53,19.5
22.9,1.29,50,20.3
23.8,1.42,45,20.8
20.1,1.2,53,19.7
22.7,1.09,45,19.0
24.1,1.2,55,19.0
20.2,1.28,54,20.3
21.6,1.47,57,19.6
21.9,1.11,50,20.1
20.6,1.13,48,19.4
20.6,1.47,51,19.2
21.2,1.35,44,20.7
24.7,1.15,50,20.5
20.8,1.45,60,20.4
21.7,1.06,60,20.4
21.0,1.42,49,20.6
24.9,1.09,52,20.2
22.8,1.4,49,19.1
23.5,1.39,50,20.5
24.4,1.34,58,19.3
20.5,1.49,55,20.8
21.1,1.26,48,20.3
24.0,1.41,59,20.7
23.6,1.48,40,19.2
22.6,1.18,59,21.0
20.2,1.13,43,20.7
23.0,1.0,53,19.9
21.5,1.21,52,19.6
25.0,1.29,46,19.2
20.6,1.31,57,19.6
21.2,1.28,60,19.7
24.8,1.16,40,20.1
20.4,1.25,58,20.2
23.9,1.09,51,19.4
20.7,1.12,50,19.3
22.5,1.16,53,19.4
21.6,1.02,43,20.8
22.1,1.06,42,20.9
24.6,1.4,54,20.8
22.5,1.05,42,19.4
24.9,1.45,43,20.4
22.4,1.26,50,20.5
23.8,1.45,57,20.2
21.1,1.47,54,20.8
20.2,1.33,50,20.2
21.9,1.36,45,19.1
20.7,1.41,53,19.3
22.0,1.08,47,20.7
22.8,1.27,48,20.1
23.8,1.27,43,19.6
24.0,1.49,52,19.7
22.1,1.05,60,19.9
23.4,1.26,56,20.8
22.7,1.45,42,20.1
21.4,1.05,59,20.9
21.7,1.35,58,20.1
24.5,1.16,54,19.0
21.2,1.13,48,19.1
23.3,1.32,59,19.7
24.1,1.06,56,19.6
24.9,1.14,49,19.3
24.0,1.24,44,19.3
24.9,1.5,41,20.5
23.6,1.2,47,19.5
20.0,1.01,60,19.6
23.7,1.25,47,19.4
24.2,1.16,55,19.4
21.1,1.29,53,20.3
23.9,1.19,59,20.8
22.7,1.44,59,21.0
20.5,1.05,42,20.0
23.4,1.09,55,19.6
23.9,1.07,46,21.0
24.5,1.32,40,19.1
23.9,1.16,53,20.9
22.7,1.49,45,20.6
20.3,1.06,47,20.7
21.4,1.41,53,19.3
21.9,1.48,44,19.4
22.1,1.47,56,20.1
22.4,1.26,52,19.9
22.0,1.46,59,19.1
20.3,1.14,58,19.2
22.6,1.39,46,20.5
23.8,1.45,42,20.9
24.9,1.26,51,20.2
20.1,1.13,53,20.4
22.9,1.13,47,20.4
21.5,1.08,59,19.2
22.8,1.01,41,19.0
20.4,1.11,52,20.8
24.4,1.28,50,19.9
23.2,1.44,51,20.9
20.9,1.43,48,20.1
24.5,1.29,54,19.2
24.9,1.32,51,20.5
23.2,1.44,59,21.0
23.5,1.38,42,20.4
23.2,1.5,45,19.7
22.1,1.36,48,19.0
23.5,1.29,41,20.8
22.1,1.04,57,20.0
24.3,1.04,49,19.3
21.3,1.01,59,20.9
23.0,1.06,55,20.6
24.1,1.01,51,20.7
24.5,1.0,46,20.5
23.2,1.28,44,21.0
24.0,1.5,56,20.7
23.5,1.23,55,19.5
23.7,1.48,44,20.6
20.7,1.3,50,19.3
23.7,1.47,57,19.9
24.7,1.03,51,20.9
21.4,1.04,49,19.0
23.9,1.19,48,19.7
24.2,1.46,43,20.6
20.7,1.16,46,20.4
23.1,1.17,51,20.4
21.7,1.32,46,20.8
25.0,1.06,41,20.5
24.7,1.2,54,20.4
21.3,1.24,53,20.4
23.6,1.15,50,20.7
20.9,1.4,51,20.8
21.6,1.33,41,19.5
21.6,1.05,50,19.3
24.6,1.21,49,19.8
20.2,1.23,44,19.8
24.4,1.17,56,19.4
21.0,1.42,56,19.3
24.5,1.41,47,20.1
24.1,1.05,53,19.4
20.5,1.4,57,20.4
21.0,1.17,43,19.4
23.3,1.42,48,19.4
20.3,1.42,46,20.4
20.8,1.43,57,20.1
21.0,1.08,45,19.2
24.0,1.05,42,20.6
20.2,1.47,53,19.1
20.8,1.34,59,20.3
23.5,1.08,52,20.1
21.6,1.06,41,19.9
22.1,1.06,55,20.1
23.5,1.09,44,20.8
21.8,1.06,40,21.0
24.7,1.46,49,20.7
21.0,1.0,50,20.5
20.8,1.03,60,19.9
20.5,1.09,50,19.8
23.1,1.47,47,20.2
21.7,1.03,60,19.9
22.3,1.26,56,21.0
22.1,1.38,50,20.6
21.6,1.14,60,19.1
23.3,1.5,50,20.9
20.2,1.35,40,19.5
22.7,1.24,46,20.4
21.7,1.35,51,20.5
21.1,1.49,53,20.4
24.6,1.47,41,19.2
20.2,1.44,51,20.8
22.2,1.14,46,19.1
23.9,1.44,56,19.8
22.8,1.01,58,20.4
21.1,1.03,46,20.8
23.6,1.25,51,20.6
22.6,1.31,53,20.0
24.8,1.5,52,19.1
20.1,1.25,56,19.6
23.7,1.11,54,20.7
23.2,1.16,50,19.8
23.3,1.19,50,19.3
24.9,1.29,52,20.8
20.2,1.06,48,20.2
20.9,1.26,44,20.4
23.0,1.49,58,21.0
23.1,1.07,59,19.4
23.0,1.28,54,20.6
